scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 31, 0, 31, 1425
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 29, 0, 29, 1210
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 34, 0, 34, 1941
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 34, 0, 34, 973
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 30, 0, 30, 1623
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 1, 11, 166, 34, 637
dyngrid, 0.10, 0.9800, SOLVE_P, 0.90, 23, 2086, 1760806, 50, 5360
dyngrid, 0.12, 0.9760, SOLVE_P, 0.90, 14, 4048, 2206513, 43, 7152
dyngrid, 0.14, 0.9720, SOLVE_P, 0.90, 19, 2196, 357363, 47, 4095
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 0, 31, 61, 31, 740
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 3, 155, 5033, 33, 931
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 6, 81, 422, 36, 872
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 35, 35, 35, 1056
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 36, 36, 36, 1005
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 224, 224, 224, 3123
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 34, 34, 34, 1001
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 29, 29, 29, 787
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 29, 0, 29, 1180
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 36, 0, 36, 1438
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 80, 0, 80, 2199
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 56, 0, 56, 2240
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 29, 0, 29, 1319
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 29, 0, 29, 1602
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 29, 0, 29, 868
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 64, 0, 64, 2649
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 31, 0, 31, 1553
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 29, 0, 29, 1543
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 1, 9, 249, 34, 674
dyngrid, 0.10, 0.9800, SOLVE_P, 0.90, 2, 995, 1092881, 29, 3272
dyngrid, 0.12, 0.9760, SOLVE_P, 0.90, 17, 3688, 1499177, 47, 5908
dyngrid, 0.14, 0.9720, SOLVE_P, 0.90, 0, 30, 87, 30, 755
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 2, 201, 20304, 33, 1218
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 18, 698, 23526, 50, 1542
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 127, 4962, 185968, 181, 4593
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 86, 3572, 138035, 132, 3872
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 37, 37, 37, 735
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 74, 74, 74, 932
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 157, 157, 157, 1588
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 30, 30, 30, 803
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 29, 29, 29, 908
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 29, 0, 29, 779
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 29, 0, 29, 707
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 59, 0, 59, 1505
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 45, 0, 45, 1070
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 81, 0, 81, 2241
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 31, 0, 31, 1368
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 59, 0, 59, 2344
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 51, 0, 51, 1625
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 29, 0, 29, 1389
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 74, 0, 74, 2642
