scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.72, 0.8560, SOLVE_F, 0.90, 0, 49, 0, 49, 648
dyngrid, 0.77, 0.8460, SOLVE_F, 0.90, 0, 31, 0, 31, 496
dyngrid, 0.82, 0.8360, SOLVE_F, 0.90, 0, 34, 0, 34, 731
dyngrid, 0.87, 0.8260, SOLVE_F, 0.90, 0, 29, 0, 29, 563
dyngrid, 0.92, 0.8160, SOLVE_F, 0.90, 0, 76, 0, 76, 2231
dyngrid, 0.97, 0.8060, SOLVE_F, 0.90, 0, 29, 0, 29, 445
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.04, 0.9920, SOLVE_F, 0.90, 1, 61, 409, 34, 1265
dyngrid, 0.10, 0.9800, SOLVE_F, 0.90, 0, 29, 135, 29, 708
dyngrid, 0.12, 0.9760, SOLVE_F, 0.90, 3, 606, 996, 31, 1657
dyngrid, 0.14, 0.9720, SOLVE_F, 0.90, 31, 2373, 3120, 62, 2624
dyngrid, 0.16, 0.9680, SOLVE_F, 0.90, 0, 29, 84, 29, 671
dyngrid, 0.18, 0.9640, SOLVE_F, 0.90, 0, 29, 57, 29, 570
dyngrid, 0.20, 0.9600, SOLVE_F, 0.90, 57, 494, 702, 95, 1507
dyngrid, 0.22, 0.9560, SOLVE_F, 0.90, 21, 895, 1054, 55, 1245
dyngrid, 0.27, 0.9460, SOLVE_F, 0.90, 0, 38, 38, 38, 551
dyngrid, 0.32, 0.9360, SOLVE_F, 0.90, 0, 29, 29, 29, 581
dyngrid, 0.37, 0.9260, SOLVE_F, 0.90, 0, 29, 29, 29, 464
dyngrid, 0.42, 0.9160, SOLVE_F, 0.90, 0, 44, 44, 44, 659
dyngrid, 0.47, 0.9060, SOLVE_F, 0.90, 0, 45, 45, 45, 1079
dyngrid, 0.52, 0.8960, SOLVE_F, 0.90, 0, 29, 0, 29, 1017
dyngrid, 0.57, 0.8860, SOLVE_F, 0.90, 0, 29, 0, 29, 1076
dyngrid, 0.62, 0.8760, SOLVE_F, 0.90, 0, 33, 0, 33, 830
dyngrid, 0.67, 0.8660, SOLVE_F, 0.90, 0, 54, 0, 54, 1429
dyngrid, 0.72, 0.8560, SOLVE_F, 0.90, 0, 44, 0, 44, 1885
dyngrid, 0.77, 0.8460, SOLVE_F, 0.90, 0, 37, 0, 37, 1319
dyngrid, 0.82, 0.8360, SOLVE_F, 0.90, 0, 29, 0, 29, 1376
dyngrid, 0.87, 0.8260, SOLVE_F, 0.90, 0, 36, 0, 36, 901
dyngrid, 0.92, 0.8160, SOLVE_F, 0.90, 0, 43, 0, 43, 1840
dyngrid, 0.97, 0.8060, SOLVE_F, 0.90, 0, 41, 0, 41, 2036
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_F, 0.90, 1, 180, 1110, 34, 2070
dyngrid, 0.02, 0.9960, SOLVE_F, 0.90, 0, 29, 429, 29, 1162
dyngrid, 0.10, 0.9800, SOLVE_F, 0.90, 2, 966, 1793, 29, 2273
dyngrid, 0.14, 0.9720, SOLVE_F, 0.90, 0, 29, 84, 29, 605
dyngrid, 0.16, 0.9680, SOLVE_F, 0.90, 0, 30, 87, 30, 706
dyngrid, 0.18, 0.9640, SOLVE_F, 0.90, 0, 29, 57, 29, 572
dyngrid, 0.20, 0.9600, SOLVE_F, 0.90, 0, 29, 57, 29, 688
dyngrid, 0.22, 0.9560, SOLVE_F, 0.90, 45, 1895, 2214, 95, 2066
dyngrid, 0.27, 0.9460, SOLVE_F, 0.90, 0, 87, 87, 87, 996
dyngrid, 0.32, 0.9360, SOLVE_F, 0.90, 0, 171, 171, 171, 1567
dyngrid, 0.37, 0.9260, SOLVE_F, 0.90, 0, 29, 29, 29, 567
dyngrid, 0.42, 0.9160, SOLVE_F, 0.90, 0, 29, 29, 29, 926
dyngrid, 0.47, 0.9060, SOLVE_F, 0.90, 0, 29, 29, 29, 835
dyngrid, 0.52, 0.8960, SOLVE_F, 0.90, 0, 92, 0, 92, 2682
dyngrid, 0.57, 0.8860, SOLVE_F, 0.90, 0, 29, 0, 29, 1114
dyngrid, 0.62, 0.8760, SOLVE_F, 0.90, 0, 31, 0, 31, 646
dyngrid, 0.67, 0.8660, SOLVE_F, 0.90, 0, 38, 0, 38, 1184
dyngrid, 0.72, 0.8560, SOLVE_F, 0.90, 0, 41, 0, 41, 1680
dyngrid, 0.77, 0.8460, SOLVE_F, 0.90, 0, 29, 0, 29, 1415
dyngrid, 0.82, 0.8360, SOLVE_F, 0.90, 0, 51, 0, 51, 2106
dyngrid, 0.87, 0.8260, SOLVE_F, 0.90, 0, 59, 0, 59, 2420
dyngrid, 0.92, 0.8160, SOLVE_F, 0.90, 0, 29, 0, 29, 1405
dyngrid, 0.97, 0.8060, SOLVE_F, 0.90, 0, 43, 0, 43, 2087
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_F, 0.90, 1, 19, 111, 34, 592
dyngrid, 0.08, 0.9840, SOLVE_F, 0.90, 86, 3803, 5781, 115, 3270
dyngrid, 0.12, 0.9760, SOLVE_F, 0.90, 32, 6529, 9903, 60, 5953
dyngrid, 0.14, 0.9720, SOLVE_F, 0.90, 0, 29, 84, 29, 599
dyngrid, 0.16, 0.9680, SOLVE_F, 0.90, 0, 29, 84, 29, 647
dyngrid, 0.18, 0.9640, SOLVE_F, 0.90, 0, 29, 57, 29, 545
dyngrid, 0.20, 0.9600, SOLVE_F, 0.90, 0, 29, 57, 29, 691
dyngrid, 0.22, 0.9560, SOLVE_F, 0.90, 65, 2707, 3138, 107, 2805
dyngrid, 0.27, 0.9460, SOLVE_F, 0.90, 0, 120, 120, 120, 1358
