
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_F, 0.90, 1, 21, 2217, 35, 898
dyngrid, 0.02, 0.9960, SOLVE_F, 0.90, 0, 29, 429, 29, 1130
dyngrid, 0.10, 0.9800, SOLVE_F, 0.90, 9, 3240, 2853931, 35, 4020
dyngrid, 0.12, 0.9760, SOLVE_F, 0.90, 0, 29, 110, 29, 728
dyngrid, 0.14, 0.9720, SOLVE_F, 0.90, 0, 30, 87, 30, 640
dyngrid, 0.16, 0.9680, SOLVE_F, 0.90, 0, 29, 84, 29, 645
dyngrid, 0.18, 0.9640, SOLVE_F, 0.90, 0, 32, 63, 32, 555
dyngrid, 0.20, 0.9600, SOLVE_F, 0.90, 76, 3161, 121809, 126, 2661
dyngrid, 0.22, 0.9560, SOLVE_F, 0.90, 34, 1436, 54687, 76, 1691
dyngrid, 0.27, 0.9460, SOLVE_F, 0.90, 0, 30, 30, 30, 562
dyngrid, 0.32, 0.9360, SOLVE_F, 0.90, 0, 29, 29, 29, 592
dyngrid, 0.37, 0.9260, SOLVE_F, 0.90, 0, 30, 30, 30, 756
dyngrid, 0.42, 0.9160, SOLVE_F, 0.90, 0, 70, 70, 70, 868
dyngrid, 0.47, 0.9060, SOLVE_F, 0.90, 0, 31, 31, 31, 571
dyngrid, 0.52, 0.8960, SOLVE_F, 0.90, 0, 52, 0, 52, 542
dyngrid, 0.57, 0.8860, SOLVE_F, 0.90, 0, 57, 0, 57, 788
dyngrid, 0.62, 0.8760, SOLVE_F, 0.90, 0, 29, 0, 29, 722
dyngrid, 0.67, 0.8660, SOLVE_F, 0.90, 0, 29, 0, 29, 564
dyngrid, 0.72, 0.8560, SOLVE_F, 0.90, 0, 29, 0, 29, 461
dyngrid, 0.77, 0.8460, SOLVE_F, 0.90, 0, 115, 0, 115, 1405
dyngrid, 0.82, 0.8360, SOLVE_F, 0.90, 0, 29, 0, 29, 570
dyngrid, 0.87, 0.8260, SOLVE_F, 0.90, 0, 29, 0, 29, 500
dyngrid, 0.92, 0.8160, SOLVE_F, 0.90, 0, 42, 0, 42, 604
dyngrid, 0.97, 0.8060, SOLVE_F, 0.90, 0, 44, 0, 44, 994
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_F, 0.90, 1, 159, 198812, 34, 1483
dyngrid, 0.02, 0.9960, SOLVE_F, 0.90, 0, 30, 455, 30, 1088
