dyngrid, 0.20, 0.9600, SOLVE_F, 0.90, 0, 3824, 4470, 158, 3928, ontime
dyngrid, 0.22, 0.9560, SOLVE_F, 0.90, 0, 3269, 3827, 133, 2965, ontime
dyngrid, 0.27, 0.9460, SOLVE_F, 0.90, 0, 107, 107, 107, 1189, ontime
dyngrid, 0.32, 0.9360, SOLVE_F, 0.90, 0, 96, 96, 96, 1381, ontime
dyngrid, 0.37, 0.9260, SOLVE_F, 0.90, 0, 38, 38, 38, 772, ontime
dyngrid, 0.42, 0.9160, SOLVE_F, 0.90, 0, 34, 34, 34, 807, ontime
dyngrid, 0.47, 0.9060, SOLVE_F, 0.90, 0, 65, 65, 65, 1588, ontime
dyngrid, 0.52, 0.8960, SOLVE_F, 0.90, 0, 21, 0, 21, 906, ontime
dyngrid, 0.57, 0.8860, SOLVE_F, 0.90, 0, 87, 0, 87, 1397, ontime
dyngrid, 0.62, 0.8760, SOLVE_F, 0.90, 0, 23, 0, 23, 901, ontime
dyngrid, 0.67, 0.8660, SOLVE_F, 0.90, 0, 84, 0, 84, 1386, ontime
dyngrid, 0.72, 0.8560, SOLVE_F, 0.90, 0, 112, 0, 112, 1388, ontime
dyngrid, 0.77, 0.8460, SOLVE_F, 0.90, 0, 54, 0, 54, 972, ontime
dyngrid, 0.82, 0.8360, SOLVE_F, 0.90, 0, 33, 0, 33, 1679, ontime
dyngrid, 0.87, 0.8260, SOLVE_F, 0.90, 0, 52, 0, 52, 2088, ontime
dyngrid, 0.92, 0.8160, SOLVE_F, 0.90, 0, 59, 0, 59, 2561, ontime
dyngrid, 0.97, 0.8060, SOLVE_F, 0.90, 0, 34, 0, 34, 1014, ontime
dyngrid, 0.00, 1.0000, SOLVE_F, 0.90, 1, 50, 269, 22, 969, ontime
dyngrid, 0.02, 0.9960, SOLVE_F, 0.90, 1, 100, 432, 21, 1314, ontime
dyngrid, 0.04, 0.9920, SOLVE_F, 0.90, 0, 3540, 11486, 500, 10107, timeout
dyngrid, 0.06, 0.9880, SOLVE_F, 0.90, 0, 4829, 14047, 500, 10105, timeout
