scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 34, 0, 34, 1169
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 0, 31, 496, 31, 1427
dyngrid, 0.12, 0.9760, SOLVE_P, 0.90, 0, 29, 110, 29, 660
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 33, 3836, 5298, 61, 3696
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 0, 32, 63, 32, 635
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 0, 29, 57, 29, 693
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 0, 29, 57, 29, 595
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 114, 114, 114, 911
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 31, 31, 31, 529
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 105, 105, 105, 1531
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 38, 38, 38, 584
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 33, 33, 33, 933
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 29, 0, 29, 873
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 43, 0, 43, 907
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 110, 0, 110, 2721
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 46, 0, 46, 1291
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 30, 0, 30, 1040
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 61, 0, 61, 1583
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 29, 0, 29, 1448
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 30, 0, 30, 1383
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 70, 0, 70, 2448
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 31, 0, 31, 1631
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 1, 5, 124, 29, 764
dyngrid, 0.06, 0.9880, SOLVE_P, 0.90, 0, 29, 204, 29, 812
dyngrid, 0.10, 0.9800, SOLVE_P, 0.90, 7, 1317, 2917, 35, 2959
dyngrid, 0.12, 0.9760, SOLVE_P, 0.90, 20, 4034, 6431, 50, 5054
dyngrid, 0.14, 0.9720, SOLVE_P, 0.90, 36, 3662, 4988, 66, 3712
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 0, 29, 84, 29, 707
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 27, 1144, 1339, 61, 1510
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 9, 396, 480, 40, 1131
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 61, 2544, 2952, 104, 2899
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 206, 206, 206, 2387
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 68, 68, 68, 1258
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 58, 58, 58, 1380
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 33, 33, 33, 1155
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 90, 90, 90, 1605
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 88, 0, 88, 2624
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 57, 0, 57, 993
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 32, 0, 32, 1118
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 37, 0, 37, 1220
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 77, 0, 77, 2189
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 46, 0, 46, 913
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 32, 0, 32, 899
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 29, 0, 29, 875
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 70, 0, 70, 2126
