scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout
dyngrid, 0.12, 0.9760, SOLVE_M, 0.90, 0, 3179, 5192, 34, 4910, ontime
dyngrid, 0.14, 0.9720, SOLVE_M, 0.90, 0, 12523, 17138, 186, 10116, timeout
dyngrid, 0.16, 0.9680, SOLVE_M, 0.90, 0, 11498, 15615, 187, 10116, timeout
dyngrid, 0.18, 0.9640, SOLVE_M, 0.90, 0, 1457, 1714, 75, 1963, ontime
dyngrid, 0.20, 0.9600, SOLVE_M, 0.90, 0, 3694, 4308, 134, 3638, ontime
dyngrid, 0.22, 0.9560, SOLVE_M, 0.90, 0, 7036, 8187, 250, 5649, ontime
dyngrid, 0.27, 0.9460, SOLVE_M, 0.90, 0, 146, 146, 146, 1814, ontime
dyngrid, 0.32, 0.9360, SOLVE_M, 0.90, 0, 124, 124, 124, 1528, ontime
dyngrid, 0.37, 0.9260, SOLVE_M, 0.90, 0, 74, 74, 74, 1079, ontime
dyngrid, 0.42, 0.9160, SOLVE_M, 0.90, 0, 85, 85, 85, 1463, ontime
dyngrid, 0.47, 0.9060, SOLVE_M, 0.90, 0, 107, 107, 107, 1777, ontime
dyngrid, 0.52, 0.8960, SOLVE_M, 0.90, 0, 22, 0, 22, 792, ontime
dyngrid, 0.57, 0.8860, SOLVE_M, 0.90, 0, 61, 0, 61, 1505, ontime
dyngrid, 0.62, 0.8760, SOLVE_M, 0.90, 0, 53, 0, 53, 1477, ontime
dyngrid, 0.67, 0.8660, SOLVE_M, 0.90, 0, 91, 0, 91, 2105, ontime
dyngrid, 0.72, 0.8560, SOLVE_M, 0.90, 0, 45, 0, 45, 1032, ontime
dyngrid, 0.77, 0.8460, SOLVE_M, 0.90, 0, 62, 0, 62, 1547, ontime
dyngrid, 0.82, 0.8360, SOLVE_M, 0.90, 0, 49, 0, 49, 940, ontime
dyngrid, 0.87, 0.8260, SOLVE_M, 0.90, 0, 22, 0, 22, 1080, ontime
dyngrid, 0.92, 0.8160, SOLVE_M, 0.90, 0, 64, 0, 64, 2335, ontime
dyngrid, 0.97, 0.8060, SOLVE_M, 0.90, 0, 33, 0, 33, 1159, ontime
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout
dyngrid, 0.00, 1.0000, SOLVE_M, 0.90, 0, 19, 190, 19, 985, ontime
dyngrid, 0.02, 0.9960, SOLVE_M, 0.90, 1, 5, 51, 19, 542, ontime
dyngrid, 0.04, 0.9920, SOLVE_M, 0.90, 0, 1804, 8383, 2, 10117, timeout
dyngrid, 0.06, 0.9880, SOLVE_M, 0.90, 0, 4219, 10801, 13, 10137, timeout
dyngrid, 0.08, 0.9840, SOLVE_M, 0.90, 0, 5363, 12054, 12, 10118, timeout
dyngrid, 0.10, 0.9800, SOLVE_M, 0.90, 0, 5249, 9829, 16, 10128, timeout
dyngrid, 0.12, 0.9760, SOLVE_M, 0.90, 0, 6298, 10038, 33, 10146, timeout
dyngrid, 0.14, 0.9720, SOLVE_M, 0.90, 0, 10330, 14371, 136, 9344, ontime
dyngrid, 0.16, 0.9680, SOLVE_M, 0.90, 0, 11010, 15105, 126, 10114, timeout
dyngrid, 0.18, 0.9640, SOLVE_M, 0.90, 0, 20, 39, 20, 528, ontime
dyngrid, 0.20, 0.9600, SOLVE_M, 0.90, 0, 1099, 1332, 78, 1846, ontime
dyngrid, 0.22, 0.9560, SOLVE_M, 0.90, 0, 20, 39, 20, 517, ontime
dyngrid, 0.27, 0.9460, SOLVE_M, 0.90, 0, 38, 38, 38, 674, ontime
dyngrid, 0.32, 0.9360, SOLVE_M, 0.90, 0, 69, 69, 69, 961, ontime
dyngrid, 0.37, 0.9260, SOLVE_M, 0.90, 0, 57, 57, 57, 776, ontime
