dyngrid, 0.10, 0.98, RANDOM, 0.90, 0, 30, 140, 30, 745
dyngrid, 0.15, 0.97, RANDOM, 0.90, 0, 30, 87, 30, 741
dyngrid, 0.20, 0.96, RANDOM, 0.90, 2, 36, 71, 36, 881
dyngrid, 0.25, 0.95, RANDOM, 0.90, 0, 29, 57, 29, 733
dyngrid, 0.30, 0.94, RANDOM, 0.90, 0, 29, 29, 29, 708
dyngrid, 0.35, 0.93, RANDOM, 0.90, 0, 40, 40, 40, 847
dyngrid, 0.40, 0.92, RANDOM, 0.90, 0, 57, 57, 57, 1287
dyngrid, 0.45, 0.91, RANDOM, 0.90, 0, 172, 172, 172, 2558
dyngrid, 0.50, 0.90, RANDOM, 0.90, 0, 32, 32, 32, 737
dyngrid, 0.55, 0.89, RANDOM, 0.90, 0, 29, 0, 29, 740
dyngrid, 0.60, 0.88, RANDOM, 0.90, 0, 67, 0, 67, 2524
dyngrid, 0.65, 0.87, RANDOM, 0.90, 0, 30, 0, 30, 1164
dyngrid, 0.70, 0.86, RANDOM, 0.90, 0, 43, 0, 43, 1765
dyngrid, 0.75, 0.85, RANDOM, 0.90, 0, 40, 0, 40, 1976
dyngrid, 0.80, 0.84, RANDOM, 0.90, 0, 29, 0, 29, 1227
dyngrid, 0.85, 0.83, RANDOM, 0.90, 0, 29, 0, 29, 1322
dyngrid, 0.90, 0.82, RANDOM, 0.90, 0, 56, 0, 56, 2662
dyngrid, 0.95, 0.81, RANDOM, 0.90, 0, 48, 0, 48, 2656
dyngrid, 1.00, 0.80, RANDOM, 0.90, 0, 29, 0, 29, 1679
dyngrid, 0.10, 0.98, RANDOM, 0.90, 50, 82, 345, 82, 1279
dyngrid, 0.15, 0.97, RANDOM, 0.90, 28, 73, 210, 73, 1349
dyngrid, 0.20, 0.96, RANDOM, 0.90, 1, 30, 59, 30, 634
dyngrid, 0.25, 0.95, RANDOM, 0.90, 40, 108, 215, 108, 1657
dyngrid, 0.30, 0.94, RANDOM, 0.90, 0, 106, 106, 106, 2028
dyngrid, 0.35, 0.93, RANDOM, 0.90, 0, 29, 29, 29, 810
dyngrid, 0.40, 0.92, RANDOM, 0.90, 0, 29, 29, 29, 1083
