scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.10, 0.98, SOLVE_F, 0.90, 9, 4045, 4337604, 36, 5477
dyngrid, 0.15, 0.97, SOLVE_F, 0.90, 0, 29, 84, 29, 613
dyngrid, 0.20, 0.96, SOLVE_F, 0.90, 8, 359, 12912, 39, 942
dyngrid, 0.25, 0.95, SOLVE_F, 0.90, 45, 1651, 54224, 108, 1971
dyngrid, 0.30, 0.94, SOLVE_F, 0.90, 0, 29, 29, 29, 462
dyngrid, 0.35, 0.93, SOLVE_F, 0.90, 0, 29, 29, 29, 444
dyngrid, 0.40, 0.92, SOLVE_F, 0.90, 0, 63, 63, 63, 569
dyngrid, 0.45, 0.91, SOLVE_F, 0.90, 0, 35, 35, 35, 486
dyngrid, 0.50, 0.90, SOLVE_F, 0.90, 0, 29, 29, 29, 464
dyngrid, 0.60, 0.88, SOLVE_F, 0.90, 0, 30, 0, 30, 436
dyngrid, 0.70, 0.86, SOLVE_F, 0.90, 0, 36, 0, 36, 441
dyngrid, 0.75, 0.85, SOLVE_F, 0.90, 0, 29, 0, 29, 423
dyngrid, 0.80, 0.84, SOLVE_F, 0.90, 0, 29, 0, 29, 400
dyngrid, 0.85, 0.83, SOLVE_F, 0.90, 0, 37, 0, 37, 438
dyngrid, 0.95, 0.81, SOLVE_F, 0.90, 0, 29, 0, 29, 420
dyngrid, 1.00, 0.80, SOLVE_F, 0.90, 0, 29, 0, 29, 423
dyngrid, 0.00, 1.00, SOLVE_F, 0.90, 1, 22, 2650, 32, 754
dyngrid, 0.10, 0.98, SOLVE_F, 0.90, 5, 2356, 2593522, 34, 3558
dyngrid, 0.15, 0.97, SOLVE_F, 0.90, 5, 666, 122314, 35, 1331
dyngrid, 0.20, 0.96, SOLVE_F, 0.90, 0, 30, 59, 30, 537
dyngrid, 0.25, 0.95, SOLVE_F, 0.90, 7, 91, 454, 42, 637
dyngrid, 0.30, 0.94, SOLVE_F, 0.90, 0, 73, 73, 73, 626
dyngrid, 0.35, 0.93, SOLVE_F, 0.90, 0, 29, 29, 29, 432
dyngrid, 0.40, 0.92, SOLVE_F, 0.90, 0, 55, 55, 55, 506
dyngrid, 0.45, 0.91, SOLVE_F, 0.90, 0, 70, 70, 70, 745
dyngrid, 0.50, 0.90, SOLVE_F, 0.90, 0, 30, 30, 30, 450
dyngrid, 0.55, 0.89, SOLVE_F, 0.90, 0, 274, 0, 274, 1063
dyngrid, 0.60, 0.88, SOLVE_F, 0.90, 0, 29, 0, 29, 432
dyngrid, 0.65, 0.87, SOLVE_F, 0.90, 0, 29, 0, 29, 411
dyngrid, 0.70, 0.86, SOLVE_F, 0.90, 0, 49, 0, 49, 475
dyngrid, 0.75, 0.85, SOLVE_F, 0.90, 0, 29, 0, 29, 410
dyngrid, 0.80, 0.84, SOLVE_F, 0.90, 0, 57, 0, 57, 547
dyngrid, 0.85, 0.83, SOLVE_F, 0.90, 0, 35, 0, 35, 547
