scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.02, 0.9960, SOLVE_P, 0.90, 0, 1124, 7864, 0, 10201, timeout, 0.00
dyngrid, 0.04, 0.9920, SOLVE_P, 0.90, 0, 1762, 6906, 2, 10186, timeout, 2.00
dyngrid, 0.06, 0.9880, SOLVE_P, 0.90, 0, 2995, 8752, 6, 10194, timeout, 6.00
dyngrid, 0.08, 0.9840, SOLVE_P, 0.90, 0, 2504, 5872, 14, 190240, timeout, 14.00
dyngrid, 0.12, 0.9760, SOLVE_P, 0.90, 0, 6430, 10949, 70, 10168, timeout, 71.60
dyngrid, 0.14, 0.9720, SOLVE_P, 0.90, 0, 655, 940, 54, 2182, ontime, 58.80
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 0, 10719, 14378, 202, 10160, timeout, 218.40
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 0, 1439, 1709, 142, 2407, ontime, 152.00
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 0, 1550, 1847, 180, 2577, ontime, 190.80
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 0, 5148, 5971, 356, 5099, ontime, 383.40
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 37, 37, 74, 1087, ontime, 75.60
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 53, 53, 106, 1122, ontime, 106.00
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 20, 20, 40, 857, ontime, 42.40
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 43, 43, 86, 1280, ontime, 87.60
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 68, 68, 136, 2095, ontime, 136.80
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 91, 0, 182, 3429, ontime, 183.60
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 28, 0, 56, 1304, ontime, 58.40
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 22, 0, 44, 1035, ontime, 46.40
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 101, 0, 202, 2438, ontime, 203.60
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 42, 0, 84, 2054, ontime, 84.80
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 33, 0, 66, 1579, ontime, 67.60
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 77, 0, 154, 3270, ontime, 155.60
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 35, 0, 70, 1862, ontime, 70.00
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 69, 0, 138, 2697, ontime, 141.20
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 24, 0, 48, 1506, ontime, 48.80
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 0, 716, 7483, 0, 10173, timeout, 0.00
dyngrid, 0.02, 0.9960, SOLVE_P, 0.90, 1, 678, 4593, 42, 6154, ontime, 53.20
dyngrid, 0.04, 0.9920, SOLVE_P, 0.90, 0, 2212, 9003, 2, 10179, timeout, 2.00
dyngrid, 0.06, 0.9880, SOLVE_P, 0.90, 0, 4077, 10865, 14, 10157, timeout, 14.80
dyngrid, 0.08, 0.9840, SOLVE_P, 0.90, 0, 5369, 10981, 28, 10157, timeout, 30.60
dyngrid, 0.10, 0.9800, SOLVE_P, 0.90, 0, 273, 614, 38, 1734, ontime, 39.60
dyngrid, 0.12, 0.9760, SOLVE_P, 0.90, 0, 8213, 13042, 82, 10158, timeout, 88.40
dyngrid, 0.14, 0.9720, SOLVE_P, 0.90, 0, 11314, 15390, 244, 10173, timeout, 269.40
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 0, 11530, 15609, 230, 10157, timeout, 250.60
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 0, 1026, 1200, 104, 1779, ontime, 114.20
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 0, 92, 126, 50, 809, ontime, 53.20
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 0, 13897, 16079, 908, 8650, ontime, 986.00
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 60, 60, 120, 1149, ontime, 120.80
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 152, 152, 304, 2517, ontime, 306.40
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 27, 27, 54, 1277, ontime, 57.20
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 115, 115, 230, 2150, ontime, 230.00
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 33, 33, 66, 1234, ontime, 69.20
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 62, 0, 124, 1625, ontime, 124.80
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 28, 0, 56, 1024, ontime, 58.40
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 31, 0, 62, 1073, ontime, 63.60
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 21, 0, 42, 911, ontime, 46.80
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 32, 0, 64, 1163, ontime, 66.40
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 46, 0, 92, 2048, ontime, 94.40
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 73, 0, 146, 3225, ontime, 146.00
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 32, 0, 64, 1681, ontime, 68.00
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 69, 0, 138, 2963, ontime, 139.60
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 34, 0, 68, 1979, ontime, 70.40
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 0, 765, 7601, 0, 10178, timeout, 0.00
dyngrid, 0.02, 0.9960, SOLVE_P, 0.90, 1, 301, 1949, 40, 3429, ontime, 48.80
dyngrid, 0.04, 0.9920, SOLVE_P, 0.90, 0, 1853, 9475, 10, 10167, timeout, 10.00
dyngrid, 0.06, 0.9880, SOLVE_P, 0.90, 0, 3295, 9769, 8, 10170, timeout, 8.00
dyngrid, 0.08, 0.9840, SOLVE_P, 0.90, 0, 5029, 10677, 40, 10158, timeout, 43.20
