rc,p,ontime,timeout
0.9,0.0,48,13
0.9,0.02,53,7
0.9,0.04,0,60
0.9,0.06,5,54
0.9,0.08,12,48
0.9,0.14,44,15
0.9,0.16,50,10
0.9,0.18,60,0
0.9,0.2,60,0
0.9,0.22,60,0
0.9,0.27,60,0
0.9,0.32,60,0
0.9,0.37,60,0
0.9,0.42,60,0
0.9,0.47,60,0
0.9,0.52,60,0
0.9,0.57,60,0
0.9,0.62,60,0
0.9,0.67,60,0
0.9,0.72,60,0
0.9,0.77,60,0
0.9,0.82,60,0
0.9,0.87,60,0
0.9,0.92,60,0
0.9,0.97,60,0
0.9,0.1,8,49
0.9,0.12,23,35
