scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, RANDOM, 0.90, 0, 2117, 5139, 2116, 10105, timeout, 2301.7000000000153
dyngrid, 0.02, 0.9960, RANDOM, 0.90, 0, 482, 1291, 482, 3366, ontime, 531.6999999999992
dyngrid, 0.04, 0.9920, RANDOM, 0.90, 0, 828, 2053, 828, 3701, ontime, 905.199999999998
dyngrid, 0.06, 0.9880, RANDOM, 0.90, 0, 62, 248, 62, 1081, ontime, 64.8
dyngrid, 0.08, 0.9840, RANDOM, 0.90, 0, 127, 342, 127, 1616, ontime, 136.90000000000006
dyngrid, 0.10, 0.9800, RANDOM, 0.90, 0, 304, 765, 304, 2478, ontime, 328.9999999999999
dyngrid, 0.12, 0.9760, RANDOM, 0.90, 0, 69, 194, 69, 1032, ontime, 75.29999999999998
dyngrid, 0.14, 0.9720, RANDOM, 0.90, 0, 145, 323, 145, 1600, ontime, 158.30000000000007
dyngrid, 0.16, 0.9680, RANDOM, 0.90, 0, 239, 535, 239, 2602, ontime, 260.70000000000005
dyngrid, 0.18, 0.9640, RANDOM, 0.90, 0, 59, 117, 59, 1101, ontime, 61.599999999999994
dyngrid, 0.20, 0.9600, RANDOM, 0.90, 0, 132, 263, 132, 1874, ontime, 139.50000000000003
dyngrid, 0.22, 0.9560, RANDOM, 0.90, 0, 44, 87, 44, 919, ontime, 45.199999999999996
dyngrid, 0.27, 0.9460, RANDOM, 0.90, 0, 115, 115, 115, 1593, ontime, 116.60000000000001
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, RANDOM, 0.90, 0, 325, 893, 325, 2245, ontime, 361.8999999999997
dyngrid, 0.02, 0.9960, RANDOM, 0.90, 0, 405, 1036, 405, 2841, ontime, 452.9999999999993
dyngrid, 0.04, 0.9920, RANDOM, 0.90, 0, 244, 728, 244, 2248, ontime, 269.60000000000014
dyngrid, 0.06, 0.9880, RANDOM, 0.90, 0, 183, 538, 183, 1889, ontime, 197.9000000000001
dyngrid, 0.08, 0.9840, RANDOM, 0.90, 0, 139, 397, 139, 1541, ontime, 152.60000000000008
dyngrid, 0.10, 0.9800, RANDOM, 0.90, 0, 60, 180, 60, 1221, ontime, 66.39999999999999
dyngrid, 0.12, 0.9760, RANDOM, 0.90, 0, 22, 81, 22, 574, ontime, 23.999999999999996
dyngrid, 0.14, 0.9720, RANDOM, 0.90, 0, 20, 57, 20, 501, ontime, 22.0
dyngrid, 0.16, 0.9680, RANDOM, 0.90, 0, 23, 64, 23, 723, ontime, 25.399999999999995
dyngrid, 0.18, 0.9640, RANDOM, 0.90, 0, 19, 37, 19, 602, ontime, 20.599999999999998
dyngrid, 0.20, 0.9600, RANDOM, 0.90, 0, 90, 179, 90, 1237, ontime, 96.10000000000002
dyngrid, 0.22, 0.9560, RANDOM, 0.90, 0, 93, 185, 93, 1330, ontime, 99.80000000000001
dyngrid, 0.27, 0.9460, RANDOM, 0.90, 0, 220, 220, 220, 1901, ontime, 221.20000000000002
dyngrid, 0.32, 0.9360, RANDOM, 0.90, 0, 100, 100, 100, 1383, ontime, 100.4
dyngrid, 0.37, 0.9260, RANDOM, 0.90, 0, 113, 113, 113, 1446, ontime, 113.0
dyngrid, 0.42, 0.9160, RANDOM, 0.90, 0, 30, 30, 30, 572, ontime, 31.999999999999996
dyngrid, 0.47, 0.9060, RANDOM, 0.90, 0, 67, 67, 67, 1282, ontime, 67.0
dyngrid, 0.52, 0.8960, RANDOM, 0.90, 0, 111, 0, 111, 2239, ontime, 112.60000000000002
dyngrid, 0.57, 0.8860, RANDOM, 0.90, 0, 25, 0, 25, 980, ontime, 25.799999999999997
dyngrid, 0.62, 0.8760, RANDOM, 0.90, 0, 72, 0, 72, 1888, ontime, 73.19999999999999
dyngrid, 0.67, 0.8660, RANDOM, 0.90, 0, 47, 0, 47, 1365, ontime, 47.0
dyngrid, 0.72, 0.8560, RANDOM, 0.90, 0, 52, 0, 52, 1667, ontime, 52.4
dyngrid, 0.77, 0.8460, RANDOM, 0.90, 0, 24, 0, 24, 1275, ontime, 24.4
dyngrid, 0.82, 0.8360, RANDOM, 0.90, 0, 32, 0, 32, 1177, ontime, 32.4
dyngrid, 0.87, 0.8260, RANDOM, 0.90, 0, 27, 0, 27, 844, ontime, 27.8
dyngrid, 0.92, 0.8160, RANDOM, 0.90, 0, 50, 0, 50, 2065, ontime, 50.4
dyngrid, 0.97, 0.8060, RANDOM, 0.90, 0, 42, 0, 42, 1503, ontime, 42.4
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, RANDOM, 0.90, 0, 1908, 5052, 1906, 10125, timeout, 2074.1000000000126
dyngrid, 0.02, 0.9960, RANDOM, 0.90, 0, 26, 166, 26, 775, ontime, 27.999999999999996
dyngrid, 0.04, 0.9920, RANDOM, 0.90, 0, 734, 1853, 734, 4053, ontime, 804.4999999999982
dyngrid, 0.06, 0.9880, RANDOM, 0.90, 0, 214, 639, 214, 2632, ontime, 240.4000000000002
dyngrid, 0.08, 0.9840, RANDOM, 0.90, 0, 54, 170, 54, 1052, ontime, 58.599999999999994
dyngrid, 0.10, 0.9800, RANDOM, 0.90, 0, 478, 1189, 478, 3090, ontime, 527.0999999999991
dyngrid, 0.12, 0.9760, RANDOM, 0.90, 0, 35, 112, 35, 847, ontime, 37.39999999999999
dyngrid, 0.14, 0.9720, RANDOM, 0.90, 0, 142, 324, 142, 1531, ontime, 152.4000000000001
dyngrid, 0.16, 0.9680, RANDOM, 0.90, 0, 23, 65, 23, 721, ontime, 25.39999999999999
dyngrid, 0.18, 0.9640, RANDOM, 0.90, 0, 63, 125, 63, 1024, ontime, 66.7
dyngrid, 0.20, 0.9600, RANDOM, 0.90, 0, 95, 189, 95, 1399, ontime, 103.30000000000004
dyngrid, 0.22, 0.9560, RANDOM, 0.90, 0, 21, 41, 21, 651, ontime, 22.599999999999998
dyngrid, 0.27, 0.9460, RANDOM, 0.90, 0, 19, 19, 19, 645, ontime, 20.599999999999998
dyngrid, 0.32, 0.9360, RANDOM, 0.90, 0, 169, 169, 169, 2183, ontime, 169.8
dyngrid, 0.37, 0.9260, RANDOM, 0.90, 0, 204, 204, 204, 3056, ontime, 204.4
dyngrid, 0.42, 0.9160, RANDOM, 0.90, 0, 24, 24, 24, 694, ontime, 25.199999999999996
dyngrid, 0.47, 0.9060, RANDOM, 0.90, 0, 121, 121, 121, 2555, ontime, 121.80000000000001
dyngrid, 0.52, 0.8960, RANDOM, 0.90, 0, 34, 0, 34, 1109, ontime, 34.4
dyngrid, 0.57, 0.8860, RANDOM, 0.90, 0, 88, 0, 88, 2046, ontime, 88.4
dyngrid, 0.62, 0.8760, RANDOM, 0.90, 0, 87, 0, 87, 2037, ontime, 87.80000000000001
dyngrid, 0.67, 0.8660, RANDOM, 0.90, 0, 31, 0, 31, 717, ontime, 31.8
