scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, SOLVE_F, 0.90, 1, 226, 1278, 52, 2219, ontime, 56.00
dyngrid, 0.02, 0.9960, SOLVE_F, 0.90, 1, 1035, 8076, 50, 7883, ontime, 54.80
dyngrid, 0.04, 0.9920, SOLVE_F, 0.90, 1, 2253, 10061, 38, 8014, ontime, 42.80
dyngrid, 0.06, 0.9880, SOLVE_F, 0.90, 0, 5962, 15300, 24, 10129, timeout, 26.40
dyngrid, 0.08, 0.9840, SOLVE_F, 0.90, 0, 8743, 16628, 52, 10123, timeout, 58.80
dyngrid, 0.10, 0.9800, SOLVE_F, 0.90, 0, 8587, 15111, 54, 10135, timeout, 60.60
dyngrid, 0.12, 0.9760, SOLVE_F, 0.90, 0, 12829, 19173, 150, 10126, timeout, 165.60
dyngrid, 0.14, 0.9720, SOLVE_F, 0.90, 0, 7308, 9470, 220, 4755, ontime, 240.60
dyngrid, 0.16, 0.9680, SOLVE_F, 0.90, 0, 443, 605, 48, 1197, ontime, 52.00
dyngrid, 0.18, 0.9640, SOLVE_F, 0.90, 0, 1194, 1393, 114, 1716, ontime, 122.40
dyngrid, 0.20, 0.9600, SOLVE_F, 0.90, 0, 2992, 3460, 206, 2642, ontime, 214.40
dyngrid, 0.22, 0.9560, SOLVE_F, 0.90, 0, 1410, 1645, 122, 1811, ontime, 127.80
dyngrid, 0.27, 0.9460, SOLVE_F, 0.90, 0, 50, 50, 100, 1025, ontime, 104.00
dyngrid, 0.32, 0.9360, SOLVE_F, 0.90, 0, 111, 111, 222, 1658, ontime, 223.60
dyngrid, 0.37, 0.9260, SOLVE_F, 0.90, 0, 258, 258, 516, 2896, ontime, 516.80
dyngrid, 0.42, 0.9160, SOLVE_F, 0.90, 0, 93, 93, 186, 1617, ontime, 187.60
dyngrid, 0.47, 0.9060, SOLVE_F, 0.90, 0, 41, 41, 82, 1376, ontime, 85.20
